법정동,계약년도,계약월,평당가격,지역
강일동,2021,7,1395.04875,서울
강일동,2021,8,1508.1025,서울
강일동,2021,9,1375.9399999999998,서울
강일동,2021,10,1431.3499999999997,서울
강일동,2021,11,1642.86,서울
강일동,2021,12,1341.27,서울
강일동,2022,1,1327.38,서울
강일동,2022,2,1309.52,서울
강일동,2022,3,1190.48,서울
강일동,2022,4,1175.595,서울
강일동,2022,5,1250.0,서울
강일동,2022,6,1202.38,서울
강일동,2022,7,1328.185,서울
강일동,2022,9,1285.71,서울
강일동,2022,12,1008.7750000000001,서울
강일동,2023,1,952.4649999999999,서울
강일동,2023,2,1056.2966666666666,서울
강일동,2023,3,1110.5616666666667,서울
강일동,2023,4,1050.549090909091,서울
강일동,2023,5,1151.4461538461537,서울
강일동,2023,6,1148.0636363636365,서울
강일동,2023,7,1081.75,서울
강일동,2023,8,1172.36,서울
강일동,2023,9,1153.298,서울
강일동,2023,10,1137.7450000000001,서울
강일동,2023,11,1109.284,서울
강일동,2023,12,1088.5833333333333,서울
강일동,2024,1,1097.5577777777778,서울
강일동,2024,2,1106.06875,서울
강일동,2024,3,1078.3745454545456,서울
강일동,2024,4,1168.70875,서울
강일동,2024,5,1254.1753846153847,서울
강일동,2024,6,1220.7496428571428,서울
강일동,2024,7,1260.039375,서울
강일동,2024,8,1223.3809523809523,서울
강일동,2024,9,1356.5675,서울
강일동,2024,10,1170.088,서울
강일동,2024,11,1311.8799999999999,서울
강일동,2024,12,1095.2366666666667,서울
강일동,2025,1,1331.1000000000001,서울
강일동,2025,2,1317.9422222222222,서울
개봉동,2020,1,687.3772093023256,서울
개봉동,2020,2,674.1775167785235,서울
개봉동,2020,3,657.9298901098902,서울
개봉동,2020,4,661.4696078431372,서울
개봉동,2020,5,649.7614285714286,서울
개봉동,2020,6,728.3156956521739,서울
개봉동,2020,7,726.9529245283019,서울
개봉동,2020,8,711.199298245614,서울
개봉동,2020,9,744.4283636363635,서울
개봉동,2020,10,793.1084615384615,서울
개봉동,2020,11,829.9784482758621,서울
개봉동,2020,12,848.0293442622951,서울
개봉동,2021,1,839.8070967741936,서울
개봉동,2021,2,934.6427777777777,서울
개봉동,2021,3,953.1566153846154,서울
개봉동,2021,4,895.4552631578948,서울
개봉동,2021,5,989.1899999999999,서울
개봉동,2021,6,963.7428571428571,서울
개봉동,2021,7,1036.839534883721,서울
개봉동,2021,8,999.5355737704917,서울
개봉동,2021,9,1027.9954166666666,서울
개봉동,2021,10,1017.9265384615385,서울
개봉동,2021,11,968.1899999999999,서울
개봉동,2021,12,921.385,서울
개봉동,2022,1,1160.67,서울
개봉동,2022,2,964.1557142857143,서울
개봉동,2022,3,993.49875,서울
개봉동,2022,4,947.5642105263158,서울
개봉동,2022,5,982.1895000000001,서울
개봉동,2022,6,998.7142857142857,서울
개봉동,2022,7,1124.9075,서울
개봉동,2022,8,931.548,서울
개봉동,2022,9,834.6199999999999,서울
개봉동,2022,10,949.0325,서울
개봉동,2022,11,899.5375,서울
개봉동,2022,12,743.2950000000001,서울
개봉동,2023,1,848.359,서울
개봉동,2023,2,867.7338888888889,서울
개봉동,2023,3,946.1308,서울
개봉동,2023,4,778.2226666666667,서울
개봉동,2023,5,852.6099999999999,서울
개봉동,2023,6,877.9692857142857,서울
개봉동,2023,7,889.5631578947368,서울
개봉동,2023,8,938.8016129032258,서울
개봉동,2023,9,893.606551724138,서울
개봉동,2023,10,915.5965,서울
개봉동,2023,11,847.1826315789474,서울
개봉동,2023,12,863.568,서울
개봉동,2024,1,874.2215384615384,서울
개봉동,2024,2,927.8890909090909,서울
개봉동,2024,3,874.0458974358975,서울
개봉동,2024,4,921.994,서울
개봉동,2024,5,890.764358974359,서울
개봉동,2024,6,908.6763043478261,서울
개봉동,2024,7,935.2475471698114,서울
개봉동,2024,8,934.3470588235293,서울
개봉동,2024,9,954.7172727272726,서울
개봉동,2024,10,916.8328571428572,서울
개봉동,2024,11,952.4771428571429,서울
개봉동,2024,12,900.9424137931035,서울
개봉동,2025,1,940.3176086956522,서울
개봉동,2025,2,869.0791489361702,서울
개포동,2020,1,2584.9383333333335,서울
개포동,2020,2,3115.399393939394,서울
개포동,2020,3,3214.162857142857,서울
개포동,2020,4,3160.1030769230765,서울
개포동,2020,5,2583.0528125,서울
개포동,2020,6,2434.4323999999997,서울
개포동,2020,7,2725.202448979592,서울
개포동,2020,8,2633.963142857143,서울
개포동,2020,9,2735.688125,서울
개포동,2020,10,2906.4203125,서울
개포동,2020,11,2751.262380952381,서울
개포동,2020,12,2753.5134375,서울
개포동,2021,1,2710.5621276595743,서울
개포동,2021,2,2912.2091304347823,서울
개포동,2021,3,2714.1311764705883,서울
개포동,2021,4,2677.5478947368424,서울
개포동,2021,5,3060.7690322580643,서울
개포동,2021,6,3177.416111111111,서울
개포동,2021,7,3163.6764516129033,서울
개포동,2021,8,3155.96875,서울
개포동,2021,9,3203.887222222222,서울
개포동,2021,10,3483.2692857142856,서울
개포동,2021,11,3399.705,서울
개포동,2021,12,3263.654,서울
개포동,2022,1,3448.337142857143,서울
개포동,2022,2,2293.94,서울
개포동,2022,3,3444.15875,서울
개포동,2022,4,3105.524,서울
개포동,2022,5,3503.687142857143,서울
개포동,2022,6,3344.0160000000005,서울
개포동,2022,7,2840.6866666666665,서울
개포동,2022,8,2847.0266666666666,서울
개포동,2022,9,3422.24,서울
개포동,2022,10,2611.8633333333332,서울
개포동,2022,11,2686.4466666666667,서울
개포동,2022,12,2376.438333333333,서울
개포동,2023,1,2762.9661764705884,서울
개포동,2023,2,2736.5668181818182,서울
개포동,2023,3,2698.487666666667,서울
개포동,2023,4,2934.538235294118,서울
개포동,2023,5,2909.974888888889,서울
개포동,2023,6,3005.162962962963,서울
개포동,2023,7,2957.4027906976744,서울
개포동,2023,8,3007.9425,서울
개포동,2023,9,3046.64,서울
