법정동,계약년도,계약월,평당가격,지역
가재동,2020,4,184.0775,경기
가재동,2020,5,181.55,경기
가재동,2020,6,185.47,경기
가재동,2020,7,204.05166666666665,경기
가재동,2020,8,207.25666666666666,경기
가재동,2020,9,211.11,경기
가재동,2020,11,202.77666666666664,경기
가재동,2020,12,205.15666666666667,경기
가재동,2021,1,203.87,경기
가재동,2021,2,208.3325,경기
가재동,2021,3,214.71142857142857,경기
가재동,2021,4,221.77857142857144,경기
가재동,2021,5,218.25333333333333,경기
가재동,2021,6,251.785,경기
가재동,2021,7,273.80499999999995,경기
가재동,2021,8,274.95,경기
가재동,2021,9,284.91833333333335,경기
가재동,2021,10,348.21,경기
가재동,2021,11,287.3,경기
가재동,2021,12,297.39,경기
가재동,2022,2,315.4766666666667,경기
가재동,2022,4,349.20666666666665,경기
가재동,2022,5,363.095,경기
가재동,2022,6,342.46000000000004,경기
가재동,2022,8,367.4325,경기
가재동,2022,9,320.24,경기
가재동,2022,11,309.52,경기
가재동,2022,12,321.43,경기
가재동,2023,2,285.71,경기
가재동,2023,4,317.26,경기
가재동,2023,6,321.43,경기
가재동,2023,7,291.67,경기
가재동,2023,8,234.69,경기
가재동,2023,10,319.05,경기
가재동,2023,11,297.62,경기
가재동,2023,12,309.52,경기
가재동,2024,1,285.71,경기
가재동,2024,3,302.21,경기
가재동,2024,4,300.0,경기
가재동,2024,5,285.71,경기
가재동,2024,6,291.67,경기
가재동,2024,7,291.6666666666667,경기
가재동,2024,8,279.76,경기
가재동,2024,9,280.95,경기
가재동,2024,10,250.36,경기
가재동,2024,12,279.76,경기
가재동,2025,2,238.1,경기
가좌동,2020,1,296.01222222222225,경기
가좌동,2020,2,304.24791666666664,경기
가좌동,2020,3,316.2425,경기
가좌동,2020,4,311.7966666666666,경기
가좌동,2020,5,301.11769230769227,경기
가좌동,2020,6,334.3321212121212,경기
가좌동,2020,7,323.66787878787875,경기
가좌동,2020,8,321.7006451612903,경기
가좌동,2020,9,328.144,경기
가좌동,2020,10,331.21799999999996,경기
가좌동,2020,11,357.75350877192983,경기
가좌동,2020,12,390.7272549019608,경기
가좌동,2021,1,419.8681481481482,경기
가좌동,2021,2,442.7431818181818,경기
가좌동,2021,3,457.83714285714285,경기
가좌동,2021,4,457.77315789473687,경기
가좌동,2021,5,474.5628571428571,경기
가좌동,2021,6,471.17,경기
가좌동,2021,7,469.2546428571428,경기
가좌동,2021,8,505.96727272727276,경기
가좌동,2021,9,473.16217391304343,경기
가좌동,2021,10,520.9515151515152,경기
가좌동,2021,11,507.8516666666667,경기
가좌동,2021,12,477.24399999999997,경기
가좌동,2022,1,536.3257142857143,경기
가좌동,2022,2,501.49375000000003,경기
가좌동,2022,3,579.96,경기
가좌동,2022,4,530.91,경기
가좌동,2022,5,522.4676470588236,경기
가좌동,2022,6,515.475,경기
가좌동,2022,7,555.8566666666667,경기
가좌동,2022,8,482.14,경기
가좌동,2022,9,583.385,경기
가좌동,2022,10,535.71,경기
가좌동,2022,12,413.746,경기
가좌동,2023,1,394.85,경기
가좌동,2023,2,403.95,경기
가좌동,2023,3,445.52250000000004,경기
가좌동,2023,4,425.37545454545455,경기
가좌동,2023,5,445.25499999999994,경기
가좌동,2023,6,411.8418181818182,경기
가좌동,2023,7,397.8311111111111,경기
가좌동,2023,8,409.7407692307692,경기
가좌동,2023,9,387.1622222222222,경기
가좌동,2023,10,421.0578571428572,경기
가좌동,2023,11,390.7107142857143,경기
가좌동,2023,12,407.6318181818182,경기
가좌동,2024,1,388.81,경기
가좌동,2024,2,409.84,경기
가좌동,2024,3,376.74,경기
가좌동,2024,4,416.82785714285717,경기
가좌동,2024,5,417.6383333333333,경기
가좌동,2024,6,414.69357142857143,경기
가좌동,2024,7,405.1326315789474,경기
가좌동,2024,8,409.18083333333334,경기
가좌동,2024,9,426.0733333333333,경기
가좌동,2024,10,404.22666666666663,경기
가좌동,2024,11,417.1622222222222,경기
가좌동,2024,12,447.64166666666665,경기
가좌동,2025,1,389.604,경기
가좌동,2025,2,420.84,경기
가평읍 달전리,2020,1,161.89,경기
가평읍 달전리,2020,3,162.71,경기
가평읍 달전리,2020,4,116.95,경기
가평읍 달전리,2020,5,111.27499999999999,경기
가평읍 달전리,2020,6,165.255,경기
가평읍 달전리,2020,7,181.125,경기
가평읍 달전리,2020,8,98.81,경기
가평읍 달전리,2020,10,169.67,경기
가평읍 달전리,2020,11,109.48,경기
가평읍 달전리,2020,12,182.76,경기
가평읍 달전리,2021,1,122.88,경기
가평읍 달전리,2021,2,198.28,경기
가평읍 달전리,2021,3,164.39000000000001,경기
가평읍 달전리,2021,4,178.87,경기
가평읍 달전리,2021,6,133.175,경기
가평읍 달전리,2021,7,133.54,경기
가평읍 달전리,2021,8,139.52,경기
가평읍 달전리,2021,9,134.06333333333333,경기
가평읍 달전리,2021,11,149.32,경기
가평읍 달전리,2021,12,176.39,경기
가평읍 달전리,2022,1,137.16,경기
가평읍 달전리,2022,2,180.33,경기
가평읍 달전리,2022,3,165.78,경기
가평읍 달전리,2022,4,127.58500000000001,경기
가평읍 달전리,2022,5,146.715,경기
가평읍 달전리,2022,6,159.97666666666666,경기
가평읍 달전리,2022,7,189.66,경기
가평읍 달전리,2022,8,155.99,경기
가평읍 달전리,2022,9,170.10000000000002,경기
가평읍 달전리,2022,11,203.39,경기
가평읍 달전리,2023,3,177.97,경기
가평읍 달전리,2023,4,206.9,경기
가평읍 달전리,2023,6,198.28,경기
가평읍 달전리,2023,7,149.15,경기
가평읍 달전리,2023,9,196.15,경기
가평읍 달전리,2023,10,152.82000000000002,경기
가평읍 달전리,2023,11,189.66,경기
가평읍 달전리,2024,1,166.67,경기
가평읍 달전리,2024,3,154.76,경기
가평읍 달전리,2024,5,158.97,경기
가평읍 달전리,2024,7,161.05666666666664,경기
가평읍 달전리,2024,8,146.85500000000002,경기
가평읍 달전리,2024,9,200.0,경기
가평읍 달전리,2024,10,130.33,경기
가평읍 달전리,2024,11,183.33,경기
가평읍 달전리,2024,12,122.24,경기
가평읍 달전리,2025,1,163.93,경기
가평읍 달전리,2025,2,137.93,경기
가평읍 대곡리,2020,2,241.27799999999996,경기
가평읍 대곡리,2020,3,275.6,경기
가평읍 대곡리,2020,4,291.67,경기
가평읍 대곡리,2020,5,285.0333333333333,경기
가평읍 대곡리,2020,6,325.16999999999996,경기
가평읍 대곡리,2020,7,202.44,경기
가평읍 대곡리,2020,8,310.1125,경기
가평읍 대곡리,2020,9,256.6625,경기
가평읍 대곡리,2020,10,313.942,경기
가평읍 대곡리,2020,11,327.38,경기
가평읍 대곡리,2021,1,288.7416666666667,경기
가평읍 대곡리,2021,2,254.76,경기
가평읍 대곡리,2021,3,215.42,경기
가평읍 대곡리,2021,4,297.9166666666667,경기
가평읍 대곡리,2021,5,324.45666666666665,경기
가평읍 대곡리,2021,6,304.7925,경기
가평읍 대곡리,2021,7,110.9425,경기
가평읍 대곡리,2021,8,289.68666666666667,경기
가평읍 대곡리,2021,9,273.84333333333336,경기
가평읍 대곡리,2021,10,308.40749999999997,경기
가평읍 대곡리,2021,11,265.07,경기
가평읍 대곡리,2021,12,295.06,경기
가평읍 대곡리,2022,1,294.05,경기
가평읍 대곡리,2022,2,307.206,경기
가평읍 대곡리,2022,3,259.23,경기
가평읍 대곡리,2022,4,221.475,경기
가평읍 대곡리,2022,5,249.10833333333335,경기
가평읍 대곡리,2022,6,315.48,경기
가평읍 대곡리,2022,7,206.43,경기
가평읍 대곡리,2022,9,184.846,경기
가평읍 대곡리,2022,10,238.1,경기
가평읍 대곡리,2022,11,283.13,경기
가평읍 대곡리,2022,12,184.53,경기
가평읍 대곡리,2023,1,283.13,경기
가평읍 대곡리,2023,2,101.69,경기
가평읍 대곡리,2023,3,172.115,경기
가평읍 대곡리,2023,5,305.08,경기
가평읍 대곡리,2023,6,309.52,경기
가평읍 대곡리,2023,7,293.40333333333336,경기
가평읍 대곡리,2023,8,279.74666666666667,경기
가평읍 대곡리,2023,9,311.85,경기
가평읍 대곡리,2023,10,283.1675,경기
가평읍 대곡리,2023,11,373.738,경기
가평읍 대곡리,2023,12,344.1242857142857,경기
가평읍 대곡리,2024,1,291.678,경기
가평읍 대곡리,2024,2,353.82,경기
가평읍 대곡리,2024,3,352.65333333333336,경기
가평읍 대곡리,2024,4,336.188,경기
가평읍 대곡리,2024,5,305.38571428571424,경기
가평읍 대곡리,2024,6,316.252,경기
가평읍 대곡리,2024,7,380.305,경기
가평읍 대곡리,2024,8,367.25,경기
가평읍 대곡리,2024,9,359.1266666666667,경기
가평읍 대곡리,2024,10,349.1625,경기
가평읍 대곡리,2024,11,346.052,경기
가평읍 대곡리,2024,12,270.53499999999997,경기
가평읍 대곡리,2025,1,305.2057142857143,경기
가평읍 대곡리,2025,2,366.27,경기
가평읍 읍내리,2020,1,150.0,경기
가평읍 읍내리,2020,2,201.22666666666666,경기
가평읍 읍내리,2020,3,278.76125,경기
가평읍 읍내리,2020,4,168.206,경기
가평읍 읍내리,2020,5,208.47333333333336,경기
가평읍 읍내리,2020,6,182.32999999999998,경기
가평읍 읍내리,2020,7,164.29,경기
가평읍 읍내리,2020,8,271.6775,경기
가평읍 읍내리,2020,9,258.65500000000003,경기
가평읍 읍내리,2020,10,295.205,경기
가평읍 읍내리,2020,11,177.48333333333335,경기
가평읍 읍내리,2020,12,231.54749999999999,경기
가평읍 읍내리,2021,1,196.13,경기
가평읍 읍내리,2021,2,259.91999999999996,경기
가평읍 읍내리,2021,3,194.404,경기
가평읍 읍내리,2021,4,269.3475,경기
가평읍 읍내리,2021,5,195.42499999999998,경기
가평읍 읍내리,2021,6,208.73333333333335,경기
가평읍 읍내리,2021,7,240.27499999999998,경기
가평읍 읍내리,2021,8,168.43599999999998,경기
가평읍 읍내리,2021,9,203.0025,경기
가평읍 읍내리,2021,10,177.375,경기
가평읍 읍내리,2021,11,278.67,경기
가평읍 읍내리,2021,12,217.5,경기
가평읍 읍내리,2022,1,264.4525,경기
가평읍 읍내리,2022,2,286.56,경기
가평읍 읍내리,2022,3,186.70333333333335,경기
가평읍 읍내리,2022,4,237.42999999999998,경기
가평읍 읍내리,2022,5,210.5442857142857,경기
가평읍 읍내리,2022,6,243.685,경기
가평읍 읍내리,2022,7,171.6325,경기
가평읍 읍내리,2022,8,172.845,경기
가평읍 읍내리,2022,9,304.442,경기
가평읍 읍내리,2022,10,254.0466666666667,경기
가평읍 읍내리,2022,11,279.9375,경기
가평읍 읍내리,2022,12,221.68,경기
가평읍 읍내리,2023,2,227.8275,경기
가평읍 읍내리,2023,3,198.17000000000002,경기
가평읍 읍내리,2023,4,193.03,경기
가평읍 읍내리,2023,5,234.54142857142855,경기
가평읍 읍내리,2023,6,299.40000000000003,경기
가평읍 읍내리,2023,7,239.62857142857143,경기
가평읍 읍내리,2023,8,228.47666666666666,경기
가평읍 읍내리,2023,9,186.60750000000002,경기
가평읍 읍내리,2023,10,215.23857142857145,경기
가평읍 읍내리,2023,11,306.7035714285715,경기
가평읍 읍내리,2023,12,182.95666666666668,경기
가평읍 읍내리,2024,1,321.015,경기
가평읍 읍내리,2024,2,333.895,경기
가평읍 읍내리,2024,3,262.4214285714285,경기
가평읍 읍내리,2024,4,267.63,경기
가평읍 읍내리,2024,5,315.795,경기
가평읍 읍내리,2024,6,277.9757142857143,경기
가평읍 읍내리,2024,7,203.21249999999998,경기
가평읍 읍내리,2024,8,320.40538461538466,경기
가평읍 읍내리,2024,9,221.233,경기
가평읍 읍내리,2024,10,281.4085714285714,경기
가평읍 읍내리,2024,11,244.02249999999998,경기
가평읍 읍내리,2024,12,319.748,경기
가평읍 읍내리,2025,1,298.068,경기
가평읍 읍내리,2025,2,286.49625000000003,경기
갈곶동,2020,1,232.76874999999998,경기
갈곶동,2020,2,241.92930232558138,경기
갈곶동,2020,3,231.40370370370368,경기
갈곶동,2020,4,229.5196,경기
