공급지역코드,공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,공급세대수,순위,거주지역,접수건수,경쟁률,최저당첨가점,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,시세차익
410,730,N,N,N,Y,N,N,N,31,1순위,해당지역,77,2.48,30.0,0.0914333333333333,0.4575333333333333,0.0008666666666666,0.0008666666666666,0.1646333333333333,0.2673333333333333,0.0173,4121010100.0,897038835.6724894
410,730,N,N,N,Y,N,N,N,10,1순위,해당지역,19,1.9,45.0,0.0914333333333333,0.4575333333333333,0.0008666666666666,0.0008666666666666,0.1646333333333333,0.2673333333333333,0.0173,4121010100.0,798238896.8572118
410,730,N,N,N,Y,N,N,N,25,1순위,해당지역,77,3.08,49.0,0.0914333333333333,0.4575333333333333,0.0008666666666666,0.0008666666666666,0.1646333333333333,0.2673333333333333,0.0173,4121010100.0,1185913382.8279634
410,66,N,N,N,N,N,N,N,12,1순위,해당지역,20,1.67,33.0,0.0762,0.0008666666666666,0.1649,0.0008333333333333,0.241,0.5153666666666666,0.0008333333333333,4117110100.0,791933528.2699056
410,66,N,N,N,N,N,N,N,10,1순위,해당지역,12,1.2,30.0,0.0762,0.0008666666666666,0.1649,0.0008333333333333,0.241,0.5153666666666666,0.0008333333333333,4117110100.0,895924670.6394169
410,66,N,N,N,N,N,N,N,1,1순위,해당지역,3,3.0,30.0,0.0762,0.0008666666666666,0.1649,0.0008333333333333,0.241,0.5153666666666666,0.0008333333333333,4117110100.0,1199924668.0680556
400,128,N,N,N,N,N,Y,N,1,1순위,해당지역,5,5.0,30.0,0.0021666666666666,0.0467,0.2035333333333333,0.0021666666666666,0.6187333333333334,0.1245,0.0022,2818510600.0,838744904.4225107
100,101,N,N,N,Y,N,N,N,2,1순위,해당지역,74,37.0,56.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,879131976.9231274
100,101,N,N,N,Y,N,N,N,7,1순위,해당지역,196,28.0,54.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,900732000.013106
100,101,N,N,N,Y,N,N,N,1,1순위,해당지역,155,155.0,73.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,886330776.2442416
100,101,N,N,N,Y,N,N,N,22,1순위,해당지역,0,67.0,63.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,906030753.1542631
100,101,N,N,N,Y,N,N,N,19,1순위,해당지역,759,39.95,61.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,900730764.6992524
410,166,N,N,N,Y,N,N,N,12,1순위,해당지역,39,3.25,37.0,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,443954672.30283743
410,166,N,N,N,Y,N,N,N,15,1순위,해당지역,28,1.87,34.0,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,443954672.30283743
410,166,N,N,N,Y,N,N,N,30,1순위,해당지역,104,3.47,41.0,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,598943347.4624753
410,166,N,N,N,Y,N,N,N,23,1순위,해당지역,56,2.43,33.0,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,596943564.7029493
410,166,N,N,N,Y,N,N,N,7,1순위,해당지역,55,7.86,54.0,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,709935781.8268373
100,190,N,N,N,N,N,N,N,10,1순위,해당지역,224,22.4,53.0,0.2030999999999999,0.3118,0.0078,0.0059333333333333,0.4540333333333333,0.0008666666666666,0.0165333333333333,1153010700.0,598955520.8647863
100,190,N,N,N,N,N,N,N,22,1순위,해당지역,614,27.91,53.0,0.2030999999999999,0.3118,0.0078,0.0059333333333333,0.4540333333333333,0.0008666666666666,0.0165333333333333,1153010700.0,766046597.0561587
