공급규모,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,순위,거주지역,접수건수,경쟁률,토픽 1,토픽 2,토픽 3,토픽 4,토픽 5,토픽 6,토픽 7,법정동코드,기준금리,시세차익
730,N,N,N,Y,N,N,N,1순위,해당지역,77.0,2.48,0.0914333333333333,0.4575333333333333,0.0008666666666666,0.0008666666666666,0.1646333333333333,0.2673333333333333,0.0173,4121010100.0,3.5,897038835.6724894
730,N,N,N,Y,N,N,N,1순위,해당지역,19.0,1.9,0.0914333333333333,0.4575333333333333,0.0008666666666666,0.0008666666666666,0.1646333333333333,0.2673333333333333,0.0173,4121010100.0,3.5,798238896.8572118
730,N,N,N,Y,N,N,N,1순위,해당지역,77.0,3.08,0.0914333333333333,0.4575333333333333,0.0008666666666666,0.0008666666666666,0.1646333333333333,0.2673333333333333,0.0173,4121010100.0,3.5,1185913382.8279634
66,N,N,N,N,N,N,N,1순위,해당지역,20.0,1.67,0.0762,0.0008666666666666,0.1649,0.0008333333333333,0.241,0.5153666666666666,0.0008333333333333,4117110100.0,3.5,791933528.2699056
66,N,N,N,N,N,N,N,1순위,해당지역,12.0,1.2,0.0762,0.0008666666666666,0.1649,0.0008333333333333,0.241,0.5153666666666666,0.0008333333333333,4117110100.0,3.5,895924670.6394169
66,N,N,N,N,N,N,N,1순위,해당지역,3.0,3.0,0.0762,0.0008666666666666,0.1649,0.0008333333333333,0.241,0.5153666666666666,0.0008333333333333,4117110100.0,3.5,1199924668.0680556
128,N,N,N,N,N,Y,N,1순위,해당지역,5.0,5.0,0.0021666666666666,0.0467,0.2035333333333333,0.0021666666666666,0.6187333333333334,0.1245,0.0022,2818510600.0,3.5,838744904.4225107
101,N,N,N,Y,N,N,N,1순위,해당지역,74.0,37.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,3.5,879131976.9231274
101,N,N,N,Y,N,N,N,1순위,해당지역,196.0,28.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,3.5,900732000.013106
101,N,N,N,Y,N,N,N,1순위,해당지역,155.0,155.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,3.5,886330776.2442416
101,N,N,N,Y,N,N,N,1순위,해당지역,1474.0,67.0,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,3.5,906030753.1542631
101,N,N,N,Y,N,N,N,1순위,해당지역,759.0,39.95,0.0534333333333333,0.1947333333333333,0.1299666666666666,0.0008999999999999,0.1273,0.3153999999999999,0.1781333333333333,1162010100.0,3.5,900730764.6992524
166,N,N,N,Y,N,N,N,1순위,해당지역,39.0,3.25,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,3.5,443954672.30283743
166,N,N,N,Y,N,N,N,1순위,해당지역,28.0,1.87,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,3.5,443954672.30283743
166,N,N,N,Y,N,N,N,1순위,해당지역,104.0,3.47,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,3.5,598943347.4624753
166,N,N,N,Y,N,N,N,1순위,해당지역,56.0,2.43,0.0015333333333333,0.4069666666666667,0.3534333333333333,0.0015333333333333,0.0014999999999999,0.2334999999999999,0.0014999999999999,4136011200.0,3.5,596943564.7029493
