지역,법정동,거래금액_2020,거래금액_2021,거래금액_2022,거래금액_2023,거래금액_2024,거래금액_2025
서울,녹번동,103212.0,122400.0,87150.0,88783.33333333333,,80828.57142857143
서울,논현동,110372.0,81660.0,,81900.0,203736.36363636365,186711.11111111112
서울,누상동,,,19000.0,,,
서울,답십리동,94498.35164835164,43381.81818181818,84350.0,79278.57142857143,79753.125,98659.70149253732
서울,당산동,84571.42857142857,49516.66666666666,51400.0,71500.0,108928.57142857143,98633.33333333331
서울,당산동1가,68400.0,122000.0,,,83300.0,90375.0
서울,당산동2가,82316.66666666667,122000.0,55000.0,106000.0,92125.0,45150.0
서울,당산동3가,96863.63636363635,,,,100925.0,92812.5
서울,당산동4가,119750.0,113500.0,119000.0,102300.0,111772.72727272728,119406.25
서울,당산동5가,131306.5909090909,166500.0,28500.0,158250.0,142826.66666666666,152329.16666666666
서울,당산동6가,,17000.0,,,,
서울,대림동,74203.21428571429,35012.5,59822.857142857145,69425.0,70145.0,77775.0
서울,대방동,92206.66666666669,80425.0,59766.66666666666,90620.0,79055.55555555556,107273.33333333331
서울,대조동,26830.76923076923,39310.0,33200.0,14900.0,22080.0,36600.0
서울,대치동,243847.31578947368,327666.6666666667,201208.3333333333,247533.3333333333,369072.0,329574.4680851064
서울,대현동,67260.0,22900.0,24700.0,86500.0,82600.0,86672.72727272728
서울,대흥동,139166.66666666666,140125.0,,116816.66666666669,84750.0,149158.82352941178
서울,도곡동,214868.57142857145,247250.0,199875.0,213023.0769230769,301318.91891891893,262303.8461538461
서울,도림동,102366.66666666669,,,141750.0,,115950.0
서울,도봉동,48707.69230769231,56300.0,44000.0,54514.28571428572,52492.307692307695,49920.0
서울,도선동,97500.0,,,,96000.0,
서울,도원동,122060.0,70000.0,,103250.0,130166.66666666669,133700.0
서울,도화동,107493.9393939394,119900.0,119500.0,,104800.0,131154.54545454544
서울,독산동,37540.425531914894,59285.71428571428,64768.75,50814.28571428572,83018.18181818182,72968.42105263157
서울,돈암동,80490.21739130435,76290.0,55700.0,71225.43478260869,73373.91304347826,72947.91666666667
서울,동빙고동,,,,200000.0,180000.0,
서울,동선동1가,,,,,,70000.0
서울,동선동5가,,,,32500.0,,
서울,동소문동4가,58500.0,,,,53000.0,78000.0
서울,동소문동5가,,21500.0,,64000.0,22500.0,21000.0
서울,동소문동6가,,,,21000.0,,20000.0
서울,동소문동7가,,,,,72000.0,80250.0
